AREA_SHORT,LHIN7,LHIN8,AREA_NAME,LONGITUDE,LATITUDE,Point_Coun,AnalysisAr,2018/20_Male_0+,2018/20_Female_0+,2018/20_BothSexes_0+,2018/20_Male_0+_in%,2018/20_Female_0+_in%,2018/20_BothSexes_0+_in%,2018/20_Male_0-4,2018/20_Female_0-4,2018/20_BothSexes_0-4,2018/20_Male_0-4_in%,2018/20_Female_0-4_in%,2018/20_BothSexes_0-4_in%,2018/20_Male_5-19,2018/20_Female_5-19,2018/20_BothSexes_5-19,2018/20_Male_5-19_in%,2018/20_Female_5-19_in%,2018/20_BothSexes_5-19_in%,2018/20_Male_20-44,2018/20_Female_20-44,2018/20_BothSexes_20-44,2018/20_Male_20-44_in%,2018/20_Female_20-44_in%,2018/20_BothSexes_20-44_in%,2018/20_Male_45-64,2018/20_Female_45-64,2018/20_BothSexes_45-64,2018/20_Male_45-64_in%,2018/20_Female_45-64_in%,2018/20_BothSexes_45-64_in%,2018/20_Male_65-74,2018/20_Female_65-74,2018/20_BothSexes_65-74,2018/20_Male_65-74_in%,2018/20_Female_65-74_in%,2018/20_BothSexes_65-74_in%,2018/20_Male_75+,2018/20_Female_75+,2018/20_BothSexes_75+,2018/20_Male_75+_in%,2018/20_Female_75+_in%,2018/20_BothSexes_75+_in%,2015/17_Male_0+,2015/17_Female_0+,2015/17_BothSexes_0+,2015/17_Male_0+_in%,2015/17_Female_0+_in%,2015/17_BothSexes_0+_in%,2015/17_Male_0-4,2015/17_Female_0-4,2015/17_BothSexes_0-4,2015/17_Male_0-4_in%,2015/17_Female_0-4_in%,2015/17_BothSexes_0-4_in%,2015/17_Male_5-19,2015/17_Female_5-19,2015/17_BothSexes_5-19,2015/17_Male_5-19_in%,2015/17_Female_5-19_in%,2015/17_BothSexes_5-19_in%,2015/17_Male_20-44,2015/17_Female_20-44,2015/17_BothSexes_20-44,2015/17_Male_20-44_in%,2015/17_Female_20-44_in%,2015/17_BothSexes_20-44_in%,2015/17_Male_45-64,2015/17_Female_45-64,2015/17_BothSexes_45-64,2015/17_Male_45-64_in%,2015/17_Female_45-64_in%,2015/17_BothSexes_45-64_in%,2015/17_Male_65-74,2015/17_Female_65-74,2015/17_BothSexes_65-74,2015/17_Male_65-74_in%,2015/17_Female_65-74_in%,2015/17_BothSexes_65-74_in%,2015/17_Male_75+,2015/17_Female_75+,2015/17_BothSexes_75+,2015/17_Male_75+_in%,2015/17_Female_75+_in%,2015/17_BothSexes_75+_in%
162,?,?,West Queen West,-79.41091138,43.64292797,0,0.90210639,3736,4553,8289,29.3,34.87,32.12,266,235,501,51.75,46.08,48.93,190,169,359,27.46,26.410000000000004,26.95,1604,2253,3857,21.38,27.81,24.72,1149,1266,2415,36.52,46.2,41.03,324,333,657,55.1,51.87,53.41,203,297,500,65.91,70.05,68.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
161,?,?,Humber Bay Shores,-79.48063865,43.62239037,0,1.57879646,7954,9493,17447,33.54,36.3,34.99,647,442,1089,62.57000000000001,41.31,51.76,496,515,1011,26.669999999999998,28.330000000000002,27.49,2868,3809,6677,26.38,32.15,29.39,1954,2423,4377,31.52,35,33.36,914,1027,1941,40.95,38.09,39.39,1075,1277,2352,70.82000000000001,71.18,71.01000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
160,?,?,Mimico-Queensway,-79.50575114,43.61406139,0,5.4830408,5016,5199,10215,37.55,39.34,38.44,408,333,741,55.14,43.019999999999996,48.94,447,498,945,27.97,30.97,29.48,1485,1622,3107,27.98,32.64,30.23,1482,1497,2979,37.86,40.57,39.18,632,557,1189,54.58,45.28,49.79,562,692,1254,87.81,73.46,79.27000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
159,?,?,Etobicoke City Centre,-79.54078063999999,43.62570877,1,10.13931983,7280,9717,16997,32.94,40.26,36.76,783,673,1456,60.79,54.98,57.96,597,693,1290,26.089999999999996,29.82,27.97,2763,3664,6427,25.8,32.84,29.4,1669,2046,3715,31.89,36.43,34.24,621,1105,1726,40.8,58.34,50.53,847,1536,2383,79.91,80,79.97,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
158,?,?,Islington,-79.54752755,43.64633577,0,6.10803913,8811,9773,18584,35.99,37.44,36.74,681,578,1259,53.879999999999995,52.739999999999995,53.35,1108,1160,2268,28.380000000000003,30.919999999999998,29.62,2772,2939,5711,33.76,34.29,34.03,1952,2290,4242,28.24,31.29,29.81,930,1009,1939,39.21,39.05,39.12,1368,1797,3165,75.16,64.59,68.77000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
157,?,?,Bendale South,-79.25244445,43.74865269,0,2.54438616,3502,3706,7208,36.94,38.01,37.48,314,246,560,62.06,54.67,58.58,437,411,848,26.810000000000002,25.46,26.14,946,1110,2056,29.38,33.72,31.57,943,896,1839,36.52,34.57,35.54,334,425,759,39.2,48.85,44.08,528,618,1146,76.52000000000001,66.31,70.65000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
109,?,?,Caledonia-Fairbank,-79.45521268,43.68856837,1,1.5452046,3868,4220,8088,35.83,39.2,37.51,316,313,629,53.92,55.11,54.51,476,460,936,28.99,30.5,29.71,1401,1564,2965,33.61,38.77,36.15,960,1075,2035,32.37,34.9,33.66,320,325,645,37.47,37.19,37.33,395,483,878,68.34,68.8,68.59,4229.0,4065.0,8294.0,39.71,39.089999999999996,39.410000000000004,397.0,262.0,659.0,67.06,48.339999999999996,58.11,544.0,573.0,1117.0,32.42,37.45,34.82,1474.0,1476.0,2950.0,37.0,37.83,37.410000000000004,1171.0,1014.0,2185.0,37.82,33.78,35.83,322.0,288.0,610.0,41.93,37.4,39.660000000000004,321.0,452.0,773.0,60.339999999999996,69.33,65.28999999999999
108,?,?,Briar Hill-Belgravia,-79.45287002000001,43.69902443,0,1.82848652,4498,5087,9585,29.89,30.63,30.28,419,284,703,49.53,36.32,43.18,440,432,872,19.96,21.56,20.72,1484,1660,3144,25.69,27.04,26.38,1140,1412,2552,27.12,28.7,27.97,428,530,958,34.63,35.48,35.09,587,769,1356,75.26000000000001,60.65,66.21000000000001,4866.0,5092.0,9958.0,33.4,30.72,31.98,466.0,326.0,792.0,58.839999999999996,43.82,51.56,485.0,399.0,884.0,21.990000000000002,18.84,20.44,1368.0,1587.0,2955.0,24.6,25.910000000000004,25.28,1525.0,1450.0,2975.0,36.14,29.439999999999998,32.53,435.0,479.0,914.0,41.19,34.760000000000005,37.55,587.0,851.0,1438.0,80.19,66.38,71.4
107,?,?,Oakwood Village,-79.43978548,43.68856556,0,2.22028504,7419,7974,15393,34.19,34.33,34.26,656,454,1110,52.06,39.62,46.13,694,674,1368,20.97,21.8,21.37,2196,2389,4585,27.32,28.75,28.05,1908,1951,3859,32.62,31.19,31.88,799,855,1654,45.19,39.66,42.15,1166,1651,2817,79,72.8,75.23999999999999,7768.0,8577.0,16345.0,35.87,36.67,36.28,648.0,580.0,1228.0,49.47,47.7,48.61,848.0,856.0,1704.0,25.21,27.419999999999998,26.27,2406.0,2730.0,5136.0,30.28,32.1,31.22,1827.0,1891.0,3718.0,30.869999999999997,30.119999999999997,30.49,811.0,876.0,1687.0,47.760000000000005,41.44,44.25,1228.0,1644.0,2872.0,86.47999999999999,76.17999999999999,80.27000000000001
106,?,?,Humewood-Cedarvale,-79.42768339,43.69136982,0,1.87192825,3878,4368,8246,28.57,28.03,28.28,299,230,529,41.53,33.43,37.57,518,446,964,22.369999999999997,21.669999999999998,22.04,1182,1627,2809,22.06,24.75,23.54,997,895,1892,29.46,23.16,26.1,427,470,897,38.54,33.52,35.74,455,700,1155,66.13,70.28,68.59,3927.0,4586.0,8513.0,28.24,28.21,28.22,343.0,279.0,622.0,42.660000000000004,37.4,40.13,478.0,462.0,940.0,21.21,21.96,21.57,1238.0,1709.0,2947.0,21.869999999999997,24.369999999999997,23.25,948.0,1006.0,1954.0,26.639999999999997,24.54,25.52,428.0,403.0,831.0,42.54,31.93,36.64,492.0,727.0,1219.0,79.1,70.45,73.7
